time,robot_id,x,y,vx,vy
0.8000,1,11.409465,38.338290,0.646751,0.221843
0.8000,2,11.762852,38.343915,0.652272,0.206290
0.8000,3,12.101673,38.343413,0.652114,0.206748
0.8000,4,12.450842,38.340704,0.649932,0.213009
0.8000,5,113.454799,38.357396,0.649370,-0.214686
0.8000,6,113.106066,38.361017,0.646312,-0.223121
0.8000,7,112.757995,38.359838,0.647730,-0.219246
0.8000,8,112.405409,38.358923,0.648903,-0.215994
0.8000,9,112.051591,38.361997,0.646358,-0.222996
0.8200,0,11.073304,38.349002,0.656885,0.197673
0.8200,1,11.422446,38.342648,0.651327,0.213909
0.8200,2,11.775941,38.347965,0.656563,0.198646
0.8200,3,12.114758,38.347472,0.656414,0.199096
0.8200,4,12.463885,38.344886,0.654346,0.205234
0.8200,5,113.467831,38.353180,0.653806,-0.206912
0.8200,6,113.119039,38.356633,0.650903,-0.215196
0.8200,7,112.770995,38.355531,0.652250,-0.211389
0.8200,8,112.418432,38.354681,0.653363,-0.208196
0.8200,9,112.064565,38.357616,0.650947,-0.215073
0.8400,0,11.086482,38.352879,0.660914,0.190002
0.8400,1,11.435516,38.346846,0.655654,0.205905
0.8400,2,11.789113,38.351861,0.660610,0.190954
0.8400,3,12.127928,38.351377,0.660469,0.191393
0.8400,4,12.477014,38.348913,0.658513,0.197402
0.8400,5,113.480950,38.349120,0.657996,-0.199080
0.8400,6,113.132100,38.352409,0.655246,-0.207199
0.8400,7,112.784083,38.351383,0.656523,-0.203466
0.8400,8,112.431542,38.350596,0.657576,-0.200338
0.8400,9,112.077627,38.353395,0.655288,-0.207079
0.8600,0,11.099739,38.356602,0.664708,0.182310
0.8600,1,11.448671,38.350884,0.659740,0.197858
0.8600,2,11.802364,38.355603,0.664421,0.183239
0.8600,3,12.141176,38.355127,0.664288,0.183668
0.8600,4,12.490224,38.352782,0.662442,0.189539
0.8600,5,113.494150,38.345217,0.661947,-0.191216
0.8600,6,113.145247,38.348346,0.659348,-0.199160
0.8600,7,112.797255,38.347393,0.660555,-0.195506
0.8600,8,112.444734,38.346668,0.661551,-0.192445
0.8600,9,112.090775,38.349333,0.659387,-0.199042
0.8800,0,11.113069,38.360171,0.668275,0.174622
0.8800,1,11.461904,38.354761,0.663593,0.189795
0.8800,2,11.815689,38.359191,0.668005,0.175527
0.8800,3,12.154498,38.358723,0.667879,0.175945
0.8800,4,12.503510,38.356494,0.666140,0.181670
0.8800,5,113.507426,38.341471,0.665668,-0.183345
0.8800,6,113.158473,38.344443,0.663217,-0.191105
0.8800,7,112.810504,38.343563,0.664355,-0.187534
0.8800,8,112.458003,38.342898,0.665295,-0.184546
0.8800,9,112.104001,38.345433,0.663254,-0.190989
0.9000,0,11.126468,38.363587,0.671624,0.166960
0.9000,1,11.475213,38.358476,0.667220,0.181742
0.9000,2,11.829083,38.362624,0.671370,0.167840
0.9000,3,12.167889,38.362165,0.671252,0.168248
0.9000,4,12.516868,38.360049,0.669617,0.173821
0.9000,5,113.520775,38.337883,0.669167,-0.175493
0.9000,6,113.171774,38.340701,0.666859,-0.183058
0.9000,7,112.823827,38.339892,0.667932,-0.179575
0.9000,8,112.471344,38.339286,0.668816,-0.176663
0.9000,9,112.117303,38.341694,0.666894,-0.182945
